Judul,Kata_Kunci,Tempat
Analisis Kepercayaan Diri Gen Z Dalam Menggunakan Pola Komunikasi Interpersonal,"Komunikasi Interpersonal, Kepercayaan Diri, Gen Z, Kampus, Strategi
Komunikasi.",
Strategi Pengembangan Produk Obibelt Ecoprint Melalui Program Magang dan Studi Independen Lacorre,"Obibelt Ecoprint, PT Lacorre Loka Maya, Bill of landing atau airwaybill, Kain ecoprint",
Analisis Penggunaan Komunikasi Persuasif Pada Live Streaming Tiktok Shop Dan Dampaknya Terhadap Kepercayaan Konsumen Cv. Senusantara Sejahtera Group,"Komunikasi Persuasif, Live Streaming, Marketplace, Kepercayaan Konsumen",
Pengaruh Penggunaan Media Pembelajaran Powtoon Terhadap Minat Belajar Siswa Pada Mata Pelajaran IPAS di SDN 01 Wonoboyo,"Media, Pembelajaran, Powtoon, Minat, IPAS",SDN 01 Wonoboyo
Studi Etnografis Penggunaan Ornamen Arsitektur Buddhis Sebagai Media pembabaran Dhamma Oleh Pandita Magabudhi Di Vihara Buddha Guna Nusa Dua - Bali,"Ornamen Arsitektur Buddhis, Pembabaran Dhamma, Etnografi, Vihara Buddha Guna, Budaya Bali.",Vihara Buddha Guna Nusa Dua - Bali
Akulturasi Budaya Jawa dan Agama Buddha dalam Puja Bakti Buddha Jawi Wisnu (Studi Kasus di Dusun Kutorejo Desa Kalipait Tegaldimo Kabupaten Banyuwangi),"Akulturasi, Budaya, Agama Buddha,  Jawi Wisnu",Dusun Kutorejo Desa Kalipait Tegaldimo Kabupaten Banyuwangi
Pengaruh Beasiswa Bidikmisi dan Gaya Mengajar Dosen Terhadap Motivasi Belajar Mahasiswa Di Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri,"beasiswa bidikmisi, gaya mengajar dosen , motivasi belajar. Buddha",Sekolah Tinggi Agama Buddha Negeri Raden Wijaya Wonogiri
"Upaya Guru Pendidikan Agama Buddha Meningkatkan Hasil Belajar Siswa Dalam Pembelajaran Daring Pada Masa Pandemi Covid-19 Di SD Negeri 1 Kalimanggis Kecamatan Kaloran, Kabupaten Temanggung","Covid-19, Hasil Belajar, Pembelajaran Daring, Pendidikan Agama Buddha, Upaya Guru.","SD Negeri 1 Kalimanggis Kecamatan Kaloran, Kabupaten Temanggung"
Pengaruh pembelajaran daring (Online) selama pandemi Covid-19 terhadap minat belajar pada mata pelajaran pendidikan agama buddha di sekolah menengah atas (SMA) Negeri I Donorojo Kabupaten Jepara,"Pembelajaran Daring, Minat Belajar, Pendidikan Agama Buddha, Sekolah Menengah Atas (SMA)",
Analisis Pembelajaran Daring Terhadap Hasil Belajar Siswa Pada Mata Pelajaran Pendidikan Agama Buddha (Studi Kasus di SMA Bhakti Karya Kabupaten Temanggung),"Pembelajaran Daring, Faktor Penghambat, Hasil Belajar.",SMA Bhakti Karya Kabupaten Temanggung
Pengembangan Media 3 Dimensi (POP-UP) Pada Materi Patung Buddha untuk Siswa Kelas 1 Sekolah Dasar Di Kecamatan Kaloran Kabupaten Temanggung,"Pengembangan, POP-UP, Arca Buddha, Pendidikan Agama Buddha, Sekolah Dasar",Kecamatan Kaloran Kabupaten Temanggung
Pengaruh pembelajaran daring (Online) selama pandemi Covid-19 terhadap tingkat pemahaman peserta didik beragama buddha di sekolah menengah pertama (SMP) Kabupaten Semarang,"Pembelajaran Daring, Tingkat Pemahaman Peserta Didik, Beragama Buddha",
Upaya Peningkatan Prestasi Belajar Siswa Menggunakan Pembelajaran Inkuiri Terbimbing Pada Materi Berdana : Penelitian Tindakan Kelas di Sekolah Dasar (SD Negeri 01 Kalimanggis),"Prestasi belajar, Inkuiri Terbimbing, Berdana",
Kajian Folklor Tradisi Nyewu dalam Aspek Buddhis di Desa Hargorojo Kecamatan Bagelen Kabupaten Purworejo,"Tradisi Nyewu, Folklor , Buddhis",Desa Hargorojo Kecamatan Bagelen Kabupaten Purworejo
Pengaruh Pembelajaran Daring dan Peran Orang Tua Di Masa Pandemi Covid 19 Terhadap Motivasi Belajar Peserta Didik Beragama Buddha Di SMP Negeri 1 Gangga,"Pembelajaran Daring, Peran Orang Tua, Motivasi Belajar Peserta Didik",SMP Negeri 1 Gangga
Upaya peningkatan prestasi belajar siswa kelas VII dengan menggunakan model pembelajaran inkuiri terbimbing pada materi Pancadharma (Penelitian tindakan kelas di sekolah menengah pertama negeri (SMP N) 1 Keling Kelas VII),"Prestasi belajar, Model inkuiri terbimbing, Pancadharma",
Studi Deskriptif Kinerja Penyuluh Agama Buddha pada Masa Pandemi Covid-19 di Kapanewon Girimulyo Kabupaten Kulon Progo Daerah Istimewa Yogyakarta,"Kinerja, Penyuluh Agama Buddha , Pandemi Covid-19",
"Nilai-Nilai Buddhisme dalam Tradisi Wagean Masyarakat Majelis Nichiren Shoshu Buddha Dharma Indonesia (Kajian Studi Kasus Vihara Vimala Kirti Setoyo, Dusun Setoyo, Desa Hargorojo, Kecamatan Bagelen, Kabupaten Purworejo)","Tradisi Wagean, Nilai-Nilai Buddhisme, MNSBDI",
Pengembangan Multimedia Pembelajaran Interaktif Berbasis Animaker Pada Materi Fenomena Alam dan Kehidupan untuk Siswa Kelas X Sekolah Menengah Atas Di Kecamatan Kaloran Kabupaten Temanggung,"Multimedia Pembelajaran Interaktif, Animaker, Pendidikan Keagamaan Buddha.",Kecamatan Kaloran Kabupaten Temanggung
Pengaruh Kedisiplinan dan Minat Belajar Mahasiswa Terhadap Pembelajaran Daring di STABN Raden Wijaya,"Kedisiplinan, Minat Belajar, dan Pembelajaran Daring.",STABN Raden Wijaya
"Dampak Pembelajaran Daring di Masa Pandemi Covid-19 Pada Pemahaman Siswa Terhadap Mata Pelajaran Pendidikan Agama Buddha (Studi Kasus di SDN 2 Yosomulyo Kecamatan Gambiran, Kabupaten Banyuwangi)","Pembelajaran Daring, Pemahaman siswa.","SDN 2 Yosomulyo Kecamatan Gambiran, Kabupaten Banyuwangi"
Peran Patria dalam Memotivasi Umat Buddha Melalui Kegiatan Anjangsana di Vihara Buddha Metta Kampung Mranggen Kaloran Temanggung,"Patria, Motivasi, Anjangsana",Vihara Buddha Metta Kampung Mranggen Kaloran Temanggung
Fungsi Stupa Puja Luar Rumah Bagi Umat Buddha Dusun Lamuk Desa kalimanggis Kecamatan Kaloran Kabupaten Temanggung,"Fungsi , Stupa Puja, Umat Buddha",
Makna Tradisi Nyadran Punden Bagi Umat Buddha di Dusun Lamuk Desa Kalimanggis Kecamatan Kaloran Kabupaten Temanggung,"Bentuk, Fungsi, Makna, Tradisi Nyadran Punden",Dusun Lamuk Desa Kalimanggis Kecamatan Kaloran Kabupaten Temanggung
"Pola Komunikasi Pengurus Vihara dalam Mewujudkan Pusat Pelayanan Umat Buddha di masa Pandemi Covid-19 (studi kasus tunggal vihara vajra bumi padma kumara dusun semanding, candigaron, Sumowono Semarang)","Pola Komunikasi, Pengurus Vihara, Pusat Pelayanan Umat Buddha, Pandemi Covid-19",
Analisis Kemampuan Komunikasi Interpersonal Mahasiswa Program Studi Kepenyuluhan Buddha STABN Raden Wijaya Wonogiri Jawa Tengah,"Komunikasi Interpersonal, Kepenyuluhan, Buddha",STABN Raden Wijaya Wonogiri
Pengembangan Media Pembelajaran Berbasis Powtoon Kelas IX Pada Materi Sang Buddha Parinibana Di SMP Negeri 01 Cluwak,"Media Pembelajaran, Powtoon, Sang Buddha Parinibba.",SMP Negeri 01 Cluwak
Pembelajaran Daring Di Masa Pandemi Covid-19 Dalam Persepsi Siswa Dan Orang Tua Siswa Pada Mata Pelajaran Pendidikan Agama Buddha Di SMP Negeri 2 Sumowono Kabupaten Semarang,"Pembelajaran Daring, Persepsi siswa, Persepsi orangtua",SMP Negeri 2 Sumowono Kabupaten Semarang
Makna simbolik Tradisi Sedekah Bumi Di Desa Medani Kecamatan Cluwak Kabupaten Pati,"Makna simbolik, Tradisi, Sedekah Bumi",Desa Medani Kecamatan Cluwak Kabupaten Pati
Analisis telaah pembelajaran daring mata pelajaran pendidikan agama buddha di Sekolah Dasar Negeri 4 Wringinpitu Kecamatan Tegaldlimo Kabupaten Banyuwangi,"pembelajaran daring , telaah , pendidikan agama buddha",
Dampak Pembelajaran Online terhadap Kinerja Siswa di SMA Negeri 01 Donorojo Kabupaten Jepara,"pembelajaran daring, dampak terhadap kinerja siswa.",SMA Negeri 01 Donorojo Kabupaten Jepara
Makna Simbolik Upacara SOTOBA Majelis Nichiren Shoshu Buddha Dhamma Indonesia (Kajian Folklor),"Makna Simbolik, Ritual Sotoba, MNSBDI",
Pengaruh Kedisiplinan dan Burnout Pada Pembelajaran Daring Terhadap Prestasi Belajar siswa SMA dan SMK Beragama Buddha Di Jawa Tengah,"kedisiplinan, burnout, prestasi belajar.",SMA dan SMK Beragama Buddha
Pengembangan Evaluasi Pembelajaran Berbasis Aplikasi Quizizz Di Sekolah Minggu Buddha Kecamatan Girimulyo Kabupaten Kulon Progo,"Evaluasi pembelajaran, aplikasi Quizizz, Sekolah Minggu Buddha",
Pengaruh minat belajar terhadap prestasi belajar mahasiswa prodi pendidikan keagamaan buddha di STAB Negeri Raden Wijaya Wonogiri Jawa Tengah,"Minat belajar, Prestasi belajar mahasiswa, Pendidikan Keagamaan Buddha",STAB Negeri Raden Wijaya Wonogiri
Upaya Meningkatkan Prestasi Belajar Siswa agama Buddha Menggunakan Model Pembelajaran Kooperatif Tipe Numbered Heads Together Pada Materi Meditasi (Penelitian Tindakan Kelas),"Numbered Head Together (NHT), prestasi belajar, materi meditasi.",
Implementasi Teknik Komunikasi Penyuluh Agama Buddha dalam Menguatkan Nilai-Nilai Moderasi Beragama Di Kabupaten Banjarnegara,"Teknik Komunikasi, Penyuluh Agama Buddha,  Moderasi Beragama",Kabupaten Banjarnegara
Pengaruh Keterampilan Mengajar Guru dan Dukungan Orang Tua Terhadap Motivasi Belajar Siswa Sekolah Minggu Buddha (SMB) Dhamma Sasana Desa Karang Kabupaten Wonogiri,"Keterampilan Mengajar Guru, Dukungan Orang Tua, Motivasi Belajar, Sekolah Minggu Buddha",
Pengaruh Motivasi Belajar dan Pengawasan Orang Tua Terhadap Prestasi Belajar Siswa Pada Pembelajaran New Normal Mata Pelajaran Pendidikan Agama Buddha di Sekolah Menengah Pertama (SMP) Negeri 1 Cluwak Pati,"motivasi belajar, pengawasan orang tua, prestasi belaar siswa.",
Pengembangan Media Pembelajaran Berbasis Powtoon Pada Materi pengenalan Lambang-Lambang Agama Buddha Sekolah Minggu Buddha mahabodhicitta Di Dukuh Gumuk Kabupaten Boyolali,"Media Pembelajaran, Powtoon, Lambang-lambang Agama Buddha",
Pengaruh Model Pembelajaran Kooperatif Tipe Think Pair Share Terhadap Peningkatan Keaktifan dan Kerja Sama Siswa Sekolah Minggu Buddha (SMB) Pada Materi Jalan Utama Berunsur Delapan,"Model Pembelajaran Think Pair Share, Keaktifan, Kerja Sama,Sekolah Minggu Buddha",
Relevansi Makna Tradisi Slametan Kematian dan Upacara Sembahyang Kematian Pada Majelis Agama Buddha Nichiren Shoshu Buddha Dharma Indonesia,"Makna, Relevansi, Upacara Selametan, Upacara sembahyangan, MNSBDI",
Strategi Penyuluh Agama Buddha Dalam Mempertahankan Keberlangsungan Generasi Muda Buddhis Di Desa Jrahi Kecamatan Gunungwungkal Kabupaten Pati,"Strategi, Penyuluh Agama, Generasi Muda.",Desa Jrahi Kecamatan Gunungwungkal Kabupaten Pati
Pengembangan Media Pembelajaran Berbasis Audio Visual Pada Materi Dana (Research and Development Pada Siswa Beragama Buddha Kelas 5 di Kabupaten Pati),"media, audio, visual",Kabupaten Pati
Pengembangan Podcast Audio Sebagai Media Dhammadesana Era Digital Pada Umat Buddha Di Vihara Vimalakirti Desa Jogomulyo Kecamatan Buayan Kabupaten Kebumen,"Penelitian dan Pengembangan, Podcast Audio, Media, Dhammadesāna",Vihara Vimalakirti Desa Jogomulyo Kecamatan Buayan Kabupaten Kebumen
Makna Simbolik Pada Altar Klenteng AN HWA TIAN (Studi Kasus di kabupaten Kotabaru Kalimantan Selatan),"Makna Simbolik, Makna Semiotika, Altar, Klenteng",kabupaten Kotabaru Kalimantan Selatan
Penerapan Metode Inquiry Pada Mata Pelajaran Pendidikan Agama Buddha Materi Bija Niyama Di SMA Negeri 1 Girimulyo Kabupaten Kulon Progo,"Metode Inquiry, Pendidikan Agama Buddha, Bija Niyama",SMA Negeri 1 Girimulyo Kabupaten Kulon Progo
Penerapan E-Learning Berbasis Edmodo Pada Materi Empat Kebenaran Mulia Terhadap Minat Belajar Siswa Agama Buddha Kelas XI SMK Negeri 1 Cluwak Kabupaten Pati,"Edmodo, E-learning, Minat Belajar, Sekolah Minggu Buddha (SMB)",SMK Negeri 1 Cluwak Kabupaten Pati
Upaya Meningkatkan Hasil Belajar Siswa Melalui Penerapan Pendekatan Pembelajaran Kontekstual Pada Siswa Agama Buddha SMP Negeri 1 Mandiraja,"pembelajaran, pembelajaran kontekstual, hasil belajar",SMP Negeri 1 Mandiraja
Analisis Makna Kegiatan Pujawalian Sebagai Proses Sosialisasi Kehidupan Sosial Beragama Pada Umat Buddha Vihara Metta Mandala Kabupaten Banjarnegara,"Pujawalian, Sosialisasi, Sosial Beragama.",Vihara Metta Mandala Kabupaten Banjarnegara
Analisis Minat dan Motivasi Remaja Buddhis untuk Melakukan Puja Bakti Di Vihara Dhamma Panna dusun Krajan Desa Kalimanggis,"Minat,Motivasi,Remaja,PujaBakti.",Vihara Dhamma Panna dusun Krajan Desa Kalimanggis
Eksistensi Penyuluh Agama Buddha Dalam Mempertahankan Keyakinan Umat Buddha Di Lembah Keramat Kecamatan Toili Barat Kabupaten Banggai Sulawesi Tengah,"Eksistensi Penyuluh, Keyakinan umat Buddha.",
Efektivitas Penggunaan Aplikasi Google Classroom Terhadap Prestasi Belajar Mahasiswa Prodi PGSD & PKB STAB Raden Wijaya Wonogiri,"Pembelajaran Online, Efektivitas Aplikasi Google classroom, Prestasi Belajar.",STAB Raden Wijaya Wonogiri
Peran Guru dan Orang Tua dalam Membentuk Karakter Siswa Beragama Buddha Di SMP Negeri 4 Girimulyo Kabupaten Kulon Progo,"Peran Guru, Orang Tua, Karakter siswa",SMP Negeri 4 Girimulyo Kabupaten Kulon Progo
Makna Tradisi Wiwitan Dan Nilai-Nilai Ajaran Buddha Di Desa Giling Kecamatan Gunungwungkal Kabupaten Pati Jawa Tengah,"Makna Tradisi, Wiwitan, Nilai-nilai Agama Buddha",Desa Giling Kecamatan Gunungwungkal Kabupaten Pati
Makna Tradisi Paninian Masyarakat Adat Dayak Meratus dalam Pandangan Agama Buddha (Studi Kasus pada Masyarakat Desa Guntung Tarap Kecamatan Kelumpang Hulu Kabupaten Kotabaru Kalimantan Selatan),"Makna, Tradisi Paninian, Dayak Meratus, Agama Buddha",
